Date	Person	Exercise	Reps	Weight	Rep Range	Note	Set #
Pre-loaded	brian	Total Gym Elevate Core Basic Scrunch	15	BW	r15_20		
Pre-loaded	dad	Total Gym Elevate Core Basic Scrunch	10	BW	r8_12		
Pre-loaded	brian	Single Leg Squats	10	30	r8_12		
Pre-loaded	dad	Single Leg Squats	0	11	r8_12		
Pre-loaded	brian	Horizontal Pull-Ups	10	BW Hole 14	r8_12		
Pre-loaded	dad	Horizontal Pull-Ups	7	BW Hole 14	r4_7		
Pre-loaded	brian	QT Underhand Pulldown	9	135	r8_12		
Pre-loaded	dad	QT Underhand Pulldown	5	100	r4_7		
Pre-loaded	brian	SquatMax Romanian Deadlift w/ Harness	10	180	r8_12		
Pre-loaded	dad	SquatMax Romanian Deadlift w/ Harness	7	90	r4_7		
Pre-loaded	brian	Push-Up	15	BW	r15_20		
Pre-loaded	dad	Push-Up	20	BW	r15_20		
Pre-loaded	brian	Standing Shoulder Press w/ Post Hold	5	50	r4_7		
Pre-loaded	dad	Standing Shoulder Press w/ Post Hold	6	25	r4_7		
Pre-loaded	brian	Iron Master Leg Extension w/ Bands	1	135+60lb bands	r1_3		
Pre-loaded	dad	Iron Master Leg Extension w/ Bands	4	70+60lb bands	r4_7		
Pre-loaded	brian	QT Belt Single Leg Calf Raises	10	80	r8_12		
Pre-loaded	dad	QT Belt Single Leg Calf Raises	8	55	r8_12		
Pre-loaded	brian	QT Belt March in Place	100	135	r15_20		
Pre-loaded	dad	QT Belt March in Place	100	55	r15_20		
Pre-loaded	brian	Chest Supported 30° Dumbbell Row	6	60	r4_7		
Pre-loaded	dad	Chest Supported 30° Dumbbell Row	6	40	r4_7		
Pre-loaded	brian	QT Bench Press 45° Handle	4	70	r4_7		
Pre-loaded	dad	QT Bench Press 45° Handle	3	35	r1_3		
Pre-loaded	brian	QT Viking Press	16	120	r15_20		
Pre-loaded	dad	QT Viking Press	6	120	r4_7		
